yearID,lgID,teamID,Rank,W,L,WSWin,R,H,2B,3B,HR,TB,BB,SO,SB,CS,SB%,HBP,SF,AVG,OBP,SLG,OPS,RA,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,franchName
2010,NL,ARI,5,65,97,N,713,1366,301,34,180,2275,589,1529,86,41,0.677165354,39,41,0.249588891,0.324649951,0.41567696,0.740326911,836,4.81,3,3,35,1503,210,548,1070,Arizona Diamondbacks
2010,NL,ATL,2,91,71,N,738,1411,312,25,139,2190,634,1140,63,29,0.684782609,51,35,0.258282995,0.338994016,0.400878638,0.739872654,629,3.56,2,9,41,1326,126,505,1241,Atlanta Braves
2010,AL,BAL,5,66,96,N,613,1440,264,21,133,2145,424,1056,76,34,0.690909091,54,45,0.259272596,0.315616258,0.386208138,0.701824396,785,4.59,3,7,35,1508,186,520,1007,Baltimore Orioles
2010,AL,BOS,3,89,73,N,818,1511,358,22,211,2546,587,1140,68,17,0.8,47,46,0.267623096,0.339076826,0.450938718,0.790015543,744,4.2,3,9,44,1402,152,580,1207,Boston Red Sox
2010,AL,CHW,2,88,74,N,752,1467,263,21,177,2303,467,922,160,74,0.683760684,79,38,0.26750547,0.331740277,0.419948942,0.751689219,704,4.09,6,11,43,1471,136,490,1149,Chicago White Sox
2010,NL,CHC,5,75,87,N,685,1414,298,27,149,2213,479,1236,55,31,0.639534884,50,38,0.256531205,0.319624938,0.401487663,0.721112602,767,4.18,1,14,40,1409,154,605,1268,Chicago Cubs
2010,NL,CIN,1,91,71,N,790,1515,293,30,188,2432,522,1218,93,43,0.683823529,68,50,0.271554042,0.338478855,0.435920416,0.774399271,685,4.01,4,9,43,1404,158,524,1130,Cincinnati Reds
2010,AL,CLE,4,69,93,N,646,1362,290,20,128,2076,545,1184,91,33,0.733870968,64,33,0.248223073,0.321585903,0.378348824,0.699934728,752,4.3,10,4,34,1477,147,572,967,Cleveland Indians
2010,NL,COL,3,83,79,N,770,1452,270,54,173,2349,585,1274,99,42,0.70212766,47,47,0.262567812,0.33564181,0.42477396,0.76041577,717,4.14,6,12,35,1405,139,525,1234,Colorado Rockies
2010,AL,DET,3,81,81,N,751,1515,308,32,152,2343,546,1147,69,30,0.696969697,41,41,0.268474216,0.335193749,0.415204678,0.750398427,743,4.3,6,5,32,1445,142,537,1056,Detroit Tigers
2010,NL,MIA,3,80,82,N,719,1403,294,37,152,2227,514,1375,92,26,0.779661017,55,43,0.253661182,0.32101579,0.402639667,0.723655458,717,4.08,5,17,39,1433,134,549,1168,Miami Marlins
2010,NL,HOU,4,76,86,N,611,1348,252,25,108,1974,415,1025,100,36,0.735294118,33,29,0.247248716,0.302917861,0.362068966,0.664986827,729,4.09,4,11,45,1446,140,548,1210,Houston Astros
2010,AL,KCR,5,67,95,N,676,1534,279,31,121,2238,471,905,115,50,0.696969697,35,53,0.273733048,0.331007626,0.399357602,0.730365228,845,4.97,7,3,44,1553,176,551,1035,Kansas City Royals
2010,AL,LAA,3,80,82,N,681,1363,276,19,155,2142,466,1070,104,52,0.666666667,52,37,0.248360058,0.311269237,0.390306122,0.70157536,702,4.04,10,9,39,1422,148,565,1130,Los Angeles Angels
2010,NL,LAD,4,80,82,N,667,1368,270,29,120,2056,533,1184,92,50,0.647887324,46,50,0.252119425,0.321552436,0.378916329,0.700468765,692,4.01,4,16,41,1323,134,539,1274,Los Angeles Dodgers
2010,NL,MIL,3,77,85,N,750,1471,293,33,182,2376,546,1216,81,26,0.757009346,81,35,0.262397431,0.334716018,0.423831609,0.758547627,804,4.58,3,7,35,1487,173,582,1258,Milwaukee Brewers
2010,AL,MIN,1,94,68,N,781,1521,318,41,142,2347,559,967,68,28,0.708333333,39,53,0.273168103,0.340730021,0.421515805,0.762245826,671,3.95,9,13,40,1493,155,383,1048,Minnesota Twins
2010,AL,NYY,2,95,67,N,859,1485,275,32,201,2427,662,1136,103,30,0.77443609,73,44,0.266750494,0.349826662,0.435961918,0.785788581,693,4.06,3,8,39,1349,179,540,1154,New York Yankees
2010,NL,NYM,4,79,83,N,656,1361,266,40,128,2091,502,1095,130,44,0.747126437,46,57,0.249039341,0.314497529,0.382616651,0.69711418,652,3.7,8,19,36,1438,135,545,1106,New York Mets
2010,AL,OAK,2,81,81,N,663,1396,276,30,109,2059,527,1061,156,38,0.804123711,47,51,0.256240822,0.324386629,0.377936858,0.702323487,626,3.56,7,17,38,1315,153,512,1070,Oakland Athletics
2010,NL,PHI,1,97,65,N,772,1451,290,34,166,2307,560,1064,108,21,0.837209302,63,43,0.259989249,0.33199936,0.41336678,0.74536614,640,3.67,14,21,40,1402,168,416,1183,Philadelphia Phillies
2010,NL,PIT,6,57,105,N,587,1303,276,27,126,2011,463,1207,87,36,0.707317073,33,33,0.241923505,0.304142012,0.373375418,0.67751743,866,5,1,6,31,1567,167,538,1026,Pittsburgh Pirates
2010,NL,SDP,2,90,72,N,665,1338,236,24,132,2018,538,1183,124,50,0.712643678,50,46,0.246227457,0.317402769,0.371365477,0.688768245,581,3.39,2,20,49,1305,139,517,1295,San Diego Padres
2010,AL,SEA,4,61,101,N,513,1274,227,16,101,1836,459,1184,142,39,0.784530387,39,40,0.23553337,0.297965361,0.339434276,0.637399637,698,3.93,11,10,38,1402,157,452,973,Seattle Mariners
2010,NL,SFG,1,92,70,Y,697,1411,284,30,162,2241,487,1099,55,32,0.632183908,50,41,0.257106414,0.321134191,0.408345481,0.729479672,583,3.36,6,17,57,1279,134,578,1331,San Francisco Giants
2010,NL,STL,2,86,76,N,736,1456,285,18,150,2227,541,1027,79,41,0.658333333,50,40,0.262721039,0.331605378,0.401840491,0.733445869,641,3.57,7,16,32,1412,133,477,1094,St. Louis Cardinals
2010,AL,TBR,1,96,66,N,802,1343,295,37,160,2192,672,1292,172,47,0.785388128,57,57,0.24692039,0.332851406,0.40301526,0.735866666,649,3.78,6,12,51,1347,175,478,1189,Tampa Bay Rays
2010,AL,TEX,1,90,72,N,787,1556,268,25,162,2360,511,986,123,48,0.719298246,45,54,0.276131322,0.338190552,0.418811003,0.757001555,687,3.93,7,8,46,1355,162,551,1181,Texas Rangers
2010,AL,TOR,4,85,77,N,755,1364,319,21,257,2496,471,1164,58,20,0.743589744,55,34,0.24822566,0.312138728,0.454231119,0.766369848,728,4.22,5,11,45,1407,150,539,1184,Toronto Blue Jays
2010,NL,WAS,5,69,93,N,655,1355,250,31,149,2114,503,1220,110,41,0.728476821,60,47,0.250092285,0.318181818,0.390180879,0.708362697,742,4.13,2,5,37,1469,151,512,1068,Washington Nationals
2011,NL,ARI,1,94,68,N,731,1357,293,37,172,2240,531,1249,133,55,0.707446809,61,33,0.250322819,0.322361892,0.413207895,0.735569787,662,3.8,5,12,58,1414,159,442,1058,Arizona Diamondbacks
2011,NL,ATL,2,89,73,N,641,1345,244,16,173,2140,504,1260,77,44,0.636363636,28,30,0.243306802,0.308210181,0.387120116,0.695330296,605,3.48,3,16,52,1332,125,521,1332,Atlanta Braves
2011,AL,BAL,5,69,93,N,708,1434,273,13,191,2306,452,1120,81,25,0.764150943,52,43,0.256759176,0.316046967,0.412891674,0.728938641,860,4.89,3,7,32,1568,210,535,1044,Baltimore Orioles
2011,AL,BOS,3,90,72,N,875,1600,352,35,203,2631,578,1108,102,42,0.708333333,50,50,0.280210158,0.348778961,0.460770578,0.809549538,737,4.2,2,13,36,1366,156,540,1213,Boston Red Sox
2011,AL,CHW,3,79,83,N,654,1387,252,16,154,2133,475,989,81,53,0.604477612,84,46,0.252090149,0.318650729,0.387677208,0.706327937,706,4.1,6,14,42,1463,147,439,1220,Chicago White Sox
2011,NL,CHC,5,71,91,N,654,1423,285,36,148,2224,425,1202,69,23,0.75,59,35,0.256442602,0.314271589,0.400792936,0.715064524,756,4.33,4,5,40,1439,162,580,1224,Chicago Cubs
2011,NL,CIN,3,79,83,N,735,1438,264,19,183,2289,535,1250,97,50,0.659863946,63,40,0.256236636,0.32576,0.40787598,0.73363598,720,4.16,4,5,39,1414,185,539,1112,Cincinnati Reds
