abbreviation,full,link
ARI,Arizona Diamondbacks,https://www.mlb.com/diamondbacks
ATL,Atlanta Braves,https://www.mlb.com/braves
BAL,Baltimore Orioles,https://www.mlb.com/orioles
BOS,Boston Red Sox,https://www.mlb.com/redsox
CHW,Chicago White Sox,https://www.mlb.com/whitesox
CHC,Chicago Cubs,https://www.mlb.com/cubs
CIN,Cincinnati Reds,https://www.mlb.com/reds
CLE,Cleveland Indians,https://www.mlb.com/indians
COL,Colorado Rockies,https://www.mlb.com/rockies
DET,Detroit Tigers,https://www.mlb.com/tigers
MIA,Miami Marlins,https://www.mlb.com/marlins
HOU,Houston Astros,https://www.mlb.com/astros
KCR,Kansas City Royals,https://www.mlb.com/cityroyals
LAA,Los Angeles Angels,https://www.mlb.com/angels
LAD,Los Angeles Dodgers,https://www.mlb.com/dodgers
MIL,Milwaukee Brewers,https://www.mlb.com/brewers
MIN,Minnesota Twins,https://www.mlb.com/twins
NYY,New York Yankees,https://www.mlb.com/yankees
NYM,New York Mets,https://www.mlb.com/mets
OAK,Oakland Athletics,https://www.mlb.com/athletics
PHI,Philadelphia Phillies,https://www.mlb.com/phillies
PIT,Pittsburgh Pirates,https://www.mlb.com/pirates
SDP,San Diego Padres,https://www.mlb.com/padres
SEA,Seattle Mariners,https://www.mlb.com/mariners
SFG,San Francisco Giants,https://www.mlb.com/giants
STL,St. Louis Cardinals,https://www.mlb.com/cardinals
TBR,Tampa Bay Rays,https://www.mlb.com/rays
TEX,Texas Rangers,https://www.mlb.com/rangers
TOR,Toronto Blue Jays,https://www.mlb.com/bluejays
WAS,Washington Nationals,https://www.mlb.com/nationals
Rank,"Division Rank (1 is best, 5 is worst)",https://www.mlb.com/standings
W,Team Wins,https://www.mlb.com/standings
L,Team Losses,https://www.mlb.com/standings
R,Total Runs Scored,https://www.mlb.com/glossary/standard-stats/run
H,Total Hits,https://www.mlb.com/glossary/standard-stats/hit
2B,Total Doubles,https://www.mlb.com/glossary/standard-stats/double
3B,Total Triples,https://www.mlb.com/glossary/standard-stats/triple
HR,Total Home Runs,https://www.mlb.com/glossary/standard-stats/home-run
TB,Team Total Bases,https://www.mlb.com/glossary/standard-stats/total-bases
BB,Total Walks,https://www.mlb.com/glossary/standard-stats/walk
SO,Total Strikeouts,https://www.mlb.com/glossary/standard-stats/strikeout
SB,Total Stolen Bases,https://www.mlb.com/glossary/standard-stats/stolen-base
CS,Total Caught Stealing,https://www.mlb.com/glossary/standard-stats/caught-stealing
SB%,Team Stolen Base Percentage,https://www.mlb.com/glossary/standard-stats/stolen-base-percentage
HBP,Total Hit By Pitches,https://www.mlb.com/glossary/standard-stats/hit-by-pitch
SF,Total Sacrifice Flies,https://www.mlb.com/glossary/standard-stats/sacrifice-fly
AVG,Team Batting Average,https://www.mlb.com/glossary/standard-stats/batting-average
OBP,Team On Base Percentage,https://www.mlb.com/glossary/standard-stats/on-base-percentage
SLG,Team Slugging Percentage,https://www.mlb.com/glossary/standard-stats/slugging-percentage
OPS,Team On Base Plus Slugging,https://www.mlb.com/glossary/standard-stats/on-base-plus-slugging
RA,Total Runs Allowed,https://www.mlb.com/glossary/standard-stats/run
ERA,Team Earned Run Average,https://www.mlb.com/glossary/standard-stats/earned-run-average
CG,Total Complete Games,https://www.mlb.com/glossary/standard-stats/complete-game
SHO,Total Shutouts,https://www.mlb.com/glossary/standard-stats/shutout
SV,Total Saves,https://www.mlb.com/glossary/standard-stats/save
HA,Total Hits Allowed,https://www.mlb.com/glossary/standard-stats/hit
HRA,Total Home Runs Allowed,https://www.mlb.com/glossary/standard-stats/home-run
BBA,Total Walks Allowed,https://www.mlb.com/glossary/standard-stats/walk
SOA,Total Strikeouts Allowed,https://www.mlb.com/glossary/standard-stats/strikeout
